DOY,LA,WL
245,9136.58472,6.91
247,9323.561049,6.89
248,9370.421854,6.92
249,9479.936721,6.94
252,9762.588275,7.03
253,9841.349641,7.05
256,10109.85839,7.17
257,10157.34946,7.19
258,10157.34946,7.25
259,10204.87037,7.29
261,10284.13576,7.47
262,10379.35447,7.54
265,10586.00381,7.77
266,10633.75272,7.83
277,11160.16644,7.78
280,11208.10565,7.97
282,11240.07073,8.17
291,12519.24669,8.76
294,12838.07896,8.77
295,12869.91603,8.78
299,12965.36941,8.59
302,12822.15696,8.37
303,12774.3775,8.32
305,12630.92584,8.18
307,12455.39343,8.04
308,12423.45769,8.02
309,12311.63932,7.99
310,12263.69856,7.97
311,12183.77583,7.94
312,12135.81078,7.88
313,12103.82989,7.81
324,11383.9614,7.12
325,11351.97964,7.03
326,11224.08765,6.95
327,11192.12476,6.92
328,11144.18908,6.86
329,11032.38425,6.76
330,11000.45282,6.67
332,10840.89368,6.52
335,10506.47101,6.25
352,9167.694117,4.85
353,9136.58472,4.78
354,9043.389322,4.69
358,8657.361657,4.49
363,7913.061036,4.19
364,7793.299383,4.12
1,7452.049299,4.06
5,7072.168821,3.83
7,7115.665016,3.69
8,6884.743866,3.63
9,6827.428291,3.6
10,6756.023366,3.56
14,6487.183132,3.42
15,6417.112581,3.32
21,5989.312038,3.05
22,5894.357532,3.01
23,5800.03387,2.94
24,5733.052406,2.88
26,5573.65894,2.83
27,5520.96258,2.79
28,5455.403108,2.73
30,5325.336635,2.57
33,5107.526004,2.4
34,5006.504817,2.38
36,4795.074829,2.36
37,4709.326134,2.32
44,4304.158604,2.08
46,4131.609303,2.02
47,4063.691225,1.99
51,3929.783303,1.9
52,3874.75802,1.91
54,3733.850287,1.83
55,3680.496535,1.81
57,3638.154557,1.73
59,3575.214975,1.66
61,3617.097977,1.62
63,3627.616705,1.61
65,3461.634668,1.5
66,3431.069183,1.44
68,3410.790931,1.36
69,3390.591984,1.42
73,3271.078638,1.54
74,3241.654654,1.47
75,3212.414216,1.45
76,3202.708347,1.44
77,3164.090483,1.38
78,3154.487587,1.28
79,3125.8032,1.23
156,3271.078638,2.33
159,3340.44332,2.6
162,3461.634668,2.86
196,6057.516566,5.04
197,6181.067728,5.15
198,6222.471758,5.22
199,6291.719474,5.26
200,6389.165358,5.28
201,6431.103616,5.28
202,6487.183132,5.28
204,6684.888498,5.34
205,6784.553163,5.46
206,6841.741316,5.57
207,6942.227464,5.68
208,7014.314988,5.78
211,7261.295107,5.95
212,7319.818727,5.99
213,7407.888455,6.03
214,7466.78802,6.06
215,7555.411641,6.12
225,8580.628749,7.37
228,8981.372391,7.59
229,9136.58472,7.65
230,9245.561902,7.7
231,9401.687381,7.75
232,9589.684494,7.8
233,9683.930699,7.87
251,11192.12476,7.73
252,11240.07073,7.75
253,11256.05486,7.79
254,11335.98996,7.87
256,11383.9614,7.86
257,11415.94613,7.87
259,11479.92344,7.93
265,11863.8946,8.34
274,12231.73252,8.53
275,12247.71607,8.51
277,12295.66022,8.49
286,12471.35907,8.45
287,12487.32318,8.41
288,12487.32318,8.35
289,12503.28573,8.32
290,12503.28573,8.3
291,12503.28573,8.27
294,12487.32318,8.18
299,12311.63932,7.95
300,12263.69856,7.86
302,12199.76236,7.78
303,12183.77583,7.75
304,12135.81078,7.68
305,12103.82989,7.64
314,11975.87854,7.67
315,11943.8851,7.66
317,11879.89335,7.6
318,11831.89635,7.56
319,11767.8978,7.55
321,11703.89829,7.51
324,11607.90194,7.36
327,11447.93357,7.12
328,11383.9614,7.04
330,11304.01315,6.88
331,11272.03999,6.82
335,11000.45282,6.54
337,10665.59695,6.45
338,10665.59695,6.38
339,10522.37254,6.31
340,10442.89102,6.25
343,10236.56711,6
344,10189.02681,5.91
346,10062.39807,5.76
348,9888.654542,5.63
351,9652.497666,5.43
355,9339.176274,5.11
356,9261.151356,5.02
357,9183.256965,4.96
358,9089.961872,4.9
361,8857.620153,4.71
363,8703.479962,4.61
1,7649.330939,4.36
3,7536.772476,4.23
7,7306.659547,4
10,7171.742651,3.88
11,7148.311944,3.86
14,6989.679405,3.73
15,6899.863368,3.66
19,6512.183777,3.38
21,6272.163419,3.22
22,6179.061438,3.16
23,6116.117307,3.12
27,5857.842042,2.96
28,5791.769336,2.92
29,5691.632958,2.86
30,5624.227487,2.82
31,5505.10865,2.75
32,5453.634707,2.72
33,5367.322306,2.67
34,5227.981118,2.59
36,5051.953153,2.49
37,4963.293944,2.44
38,4927.727534,2.42
39,4838.586424,2.37
40,4767.072244,2.33
41,4731.258217,2.31
42,4713.338597,2.3
50,4013.141156,1.91
51,3995.287132,1.9
52,3959.615094,1.88
53,3906.20475,1.85
54,3852.924006,1.82
56,3676.43727,1.72
57,3641.377252,1.7
58,3571.528244,1.66
60,3571.528244,1.66
61,3588.955294,1.67
62,3606.406166,1.68
64,3606.406166,1.68
66,3433.033353,1.58
67,3279.430961,1.49
68,3161.818312,1.42
69,3178.51253,1.43
70,3212.01074,1.45
71,3212.01074,1.45
72,3195.243521,1.44
74,3212.01074,1.45
75,3245.651672,1.47
76,3228.813639,1.46
77,3145.161418,1.41
78,3062.455994,1.36
80,2932.268417,1.28
82,2696.162233,1.13
86,2711.549575,1.14
87,2758.026534,1.17
88,2884.176145,1.25
89,2948.390013,1.29
90,3029.65432,1.34