Station,date,Sampling.Depth,Temp,DO,pH,Chl.a,NO3+NO2.(uM),NH4.(uM),DIN,PO4.(uM),N/P.ratio,POC,DP,PO4/DP,Si_uM,env,lat,lon
1,2014-03-01,0,29.8,6.29,7.04,15.9189888,2.79,0.46,3.25,0.34,9.55882352941176,,0.52866099900402,0.643134259271156,270.95832369016,pelagic,12.5344444444444,104.383055555556
1,2014-10-15,0,30.7,6.78,8.111152,9.95,0.5,0.8,1.3,0.06,21.6666666666667,,1.39256231976446,0.0430860430075033,72.2792900251019,pelagic,12.5344444444444,104.383055555556
2,2014-03-01,0,28.5,7.54,7.86,53.048424,0.45,1.45,1.9,0.11,17.2727272727273,,0.3247707889799,0.338700411898214,196.186644353848,pelagic,12.6019444444444,104.399166666667
2,2014-10-15,0,30.8,7.44,8.131896,7.46,0.17,0.67,0.84,0.05,16.8,,1.31630668881988,0.0379850686961312,88.6578483559132,pelagic,12.6019444444444,104.399166666667
3,2014-03-01,0,28.9,7.33,7.33,10.3553736,1.16,0.85,2.01,0.56,3.58928571428571,,0.493346920533868,1.13510387253255,189.065532036104,pelagic,12.6722222222222,104.408055555556
3,2014-10-15,0,30.8,7.65,8.194128,7.99,0.1,0.45,0.55,0.02,27.5,,0.610021868794902,0.032785709862353,79.400402342846,pelagic,12.6722222222222,104.408055555556
4,2014-03-01,0,29.2,7.75,7.3,53.5392,0.39,1.75,2.14,0.36,5.94444444444445,,0.134168012448638,2.68320289933352,133.164800341813,pelagic,12.6922222222222,104.348333333333
4,2014-10-15,0,31,7.68,8.142268,11.08,1.01,3.2,4.21,0.06,70.1666666666667,,0.221402191098111,0.271000028059397,97.203183137206,pelagic,12.6922222222222,104.348333333333
5,2014-03-01,0,29.5,7.28,7.63,10.3776816,0.13,0.56,0.69,0.25,2.76,,0.46801876124754,0.534166620444031,270.246212458386,pelagic,12.6333333333333,104.233333333333
5,2014-10-15,0,30.7,7.99,8.401568,20.63,0.82,0.71,1.53,0.08,19.125,,0.176823564708759,0.452428386068144,106.104573534386,pelagic,12.6333333333333,104.233333333333
6,2014-03-01,0,30,8.12,7.73,26.32344,0.25,0.41,0.66,0.37,1.78378378378378,,0.409557026326581,0.903415095374196,231.080094710794,pelagic,12.6833333333333,104.2
6,2014-10-15,0,30.6,7.77,8.225244,14.66,0.45,0.67,1.12,0.07,16,,0.544186498457133,0.128632371803532,115.718075163341,pelagic,12.6833333333333,104.2
7,2014-03-01,0,30.3,8.17,7.68,30.918888,0.3,0.36,0.66,0.29,2.27586206896552,,0.656793231091301,0.441539264218889,299.442772961137,pelagic,12.8,104.158055555556
7,2014-10-15,0,31.2,7.99,8.111152,4.94,0.17,0.8,0.97,0.11,8.81818181818182,,0,,157.376582222143,pelagic,12.8,104.158055555556
8,2014-03-01,0,31.1,8.32,7.53,9.391668,0.14,0.81,0.95,0.35,2.71428571428572,,0.921916305809939,0.379644006505028,290.897438179844,pelagic,12.85,104.083333333333
8,2014-10-15,0,31.1,7.92,8.111152,8.03,1.08,1.82,2.9,0.19,15.2631578947368,,0.124810091908354,1.52231279614403,162.361360844564,pelagic,12.85,104.083333333333
9,2014-03-01,0,29.6,8.37,8.19,60.633144,0.61,1.04,1.65,0.11,15,,0.471005757136994,0.233542792913264,290.185326948069,pelagic,12.9333333333333,104
9,2014-10-15,0,30,7.3,8.111152,10.75,0.35,1.11,1.46,0.06,24.3333333333333,,0.280200431710521,0.214132432393919,152.391803599722,pelagic,12.9333333333333,104
10,2014-03-01,0,30.6,8.67,8.22,28.866552,0.21,0.69,0.9,0.36,2.5,,0.561160485425909,0.641527707936826,225.383204856599,pelagic,12.9333333333333,103.866666666667
10,2014-10-15,0,29.9,6.93,8.142268,7.44,0.23,0.73,0.96,0.05,19.2,,0.240151861666593,0.208201592330006,138.505634580121,pelagic,12.9333333333333,103.866666666667
11,2014-03-01,0,29.5,7.79,8.08,28.821936,0.28,1.15,1.43,0.27,5.2962962962963,,0.419807908752725,0.643151294605636,264.549322604191,pelagic,13,103.95
11,2014-10-15,0,30.4,7.55,8.10078,4.4,0.24,0.83,1.07,0.06,17.8333333333333,,0,,139.92985704367,pelagic,13,103.95
12,2014-03-01,0,31,7.38,7.58,14.8705128,0.83,0.99,1.82,0.48,3.79166666666667,,0.458799365148108,1.04620894548328,264.549322604191,pelagic,13.0666666666667,104.033333333333
12,2014-10-15,0,31.2,7.54,8.007432,2.87,0.12,0.68,0.8,0.06,13.3333333333333,,0,,120.702853785761,pelagic,13.0666666666667,104.033333333333
13,2014-03-01,0,30.8,13.53,8.6,154.14828,0.14,0.49,0.63,0.29,2.17241379310345,,0.547872196157911,0.529320527732009,238.201207028538,pelagic,13.05,103.8
13,2014-10-15,0,30,7.6,8.059292,6.41,0.31,0.66,0.97,0.06,16.1666666666667,,0.0753334875516916,0.796458546523945,154.528137295046,pelagic,13.05,103.8
14,2014-03-01,0,28.9,7.92,8.39,58.268496,0.35,0.96,1.31,0.15,8.73333333333333,,0.339344481530575,0.442028699931827,207.224368446351,pelagic,13.1,103.85
14,2014-10-15,0,29.7,6.87,8.297848,5.05,0.29,0.67,0.96,0.07,13.7142857142857,,0.153814412085023,0.455093895631227,152.74785921561,pelagic,13.1,103.85
15,2014-03-01,0,32.4,10.76,8.25,43.27752,0.09,0.58,0.67,0.12,5.58333333333333,,0.393376637024346,0.305051161420583,214.701536379983,pelagic,13.1666666666667,103.933333333333
15,2014-10-15,0,31.6,7.94,7.965944,10.51,0.18,0.89,1.07,0.07,15.2857142857143,,0.259450411967276,0.26980107477659,129.604244182941,pelagic,13.1666666666667,103.933333333333
16,2014-03-01,0,30.4,9.54,8.61,108.283032,0.15,0.92,1.07,0.15,7.13333333333333,,0.308753671276965,0.485824182687835,213.989425148208,pelagic,13.2,103.766666666667
16,2014-10-15,0,30.4,5.49,8.028176,16.86,0.22,1.44,1.66,0.09,18.4444444444444,,0.0518299041629435,1.73644928451067,212.921258300547,pelagic,13.2,103.766666666667
17,2014-10-15,,29.2,4.16,8.173384,12.83,1.01,4.33,5.34,0.29,18.4137931034483,,0.172714359161306,1.67907290052911,241.405707571523,floodplain,13.2688888888889,103.823611111111
18,2014-10-15,,31.2,5.04,7.914084,10.28,0.23,0.84,1.07,0.09,11.8888888888889,,0.124138206723647,0.724998389902274,195.118477506187,floodplain,13.1333333333333,103.7
